ID,Positions,BestPosition,ClubPosition,NationalPosition
189530,LB RB,LB,SUB,
241498,RM ST,RM,SUB,
230490,CAM,RM,SUB,
229466,LW LM ST,ST,LM,
246617,CM CDM ST,CAM,SUB,
230489,CAM ST,RW,SUB,
229209,LW LM,LW,LM,
210521,ST RM LM,ST,ST,
198489,LM LW LWB,LM,LM,LM
236599,ST CAM RM,CAM,CAM,
171574,GK,GK,GK,
233366,RWB RB,RWB,RB,
240526,RW LW,RW,SUB,
253077,CM CDM,CM,RES,SUB
220847,CM LM RM,CM,RF,
232894,CB,CB,CB,
176062,CM CAM,CM,SUB,
243390,RM RW,LM,SUB,
188094,GK,GK,SUB,
255934,CDM CM,CDM,CM,
205759,GK,GK,SUB,
215487,ST RW CAM,ST,SUB,
229294,CB,CB,CB,
183743,GK,GK,RES,
222382,CM RM,CAM,SUB,
214957,ST,ST,ST,
202157,LB LM,LB,LB,LB
185260,ST CAM,ST,RES,
234924,RM RW,ST,SUB,
246443,CB,CB,SUB,
232107,GK,GK,SUB,
231614,LW RW ST,RM,LW,
230334,LB,LB,SUB,
214718,LM LW,RW,LM,
213694,LW,LW,LW,
246192,CDM CM,CDM,SUB,
244656,GK,GK,GK,
254895,CB,CB,CB,
243887,LM,LM,LM,
242351,LB,LB,LB,
232879,CDM CM RB,CDM,SUB,
232623,CM CDM,CM,CM,
213948,RW LW CM,RW,SUB,
223676,LM,LM,LM,
234172,RB RM,RB,SUB,
246716,CB LB,CB,CB,
257980,RM ST,RM,SUB,
199101,GK,GK,GK,
206269,RB,RB,SUB,
213693,CM CAM,CAM,CM,
239807,CM CDM,CAM,CDM,
252095,CB,CB,CB,
237745,CDM CB CM,CDM,CB,
239814,CB,CB,CB,
202693,CM CAM ST,CM,CM,
234949,CAM RM RW,LM,CAM,
236997,CDM CM CB,CDM,SUB,
197062,CB CDM,CB,CB,
211398,GK,GK,SUB,
215750,CAM RM,CAM,SUB,
229574,RB CB,CB,RB,
214727,ST LM,ST,SUB,
188607,RB LB,RB,SUB,
223175,GK,GK,GK,
229831,LB,LB,LB,
239303,ST,ST,SUB,
246471,ST,ST,SUB,
255943,RM RW LW,RM,RM,
206536,CDM,CDM,CDM,
229064,CB LB RB,CB,LB,
244932,CAM ST CM,CAM,CAM,
232900,ST,ST,RES,
216260,RW ST,RW,SUB,
254659,RM,CAM,SUB,
206272,GK,GK,GK,
214208,CDM CM,CDM,CM,
234688,CAM,CAM,SUB,
243392,LM ST RM,RM,SUB,
193728,LW CM,CAM,LW,SUB
234945,CDM CM,CM,CDM,
236993,RB LB,RB,RB,
239041,RM,RM,RM,
251585,ST,ST,SUB,
253377,CB,CB,SUB,
255169,ST CAM LM,ST,ST,
250818,ST,ST,SUB,
213699,ST,ST,SUB,
18115,CB,CB,CB,
239043,ST,ST,ST,
214193,LB LM,LB,LB,
240561,CAM RM CM,CAM,SUB,
184469,CDM CM,CDM,SUB,
244110,ST,RW,ST,
236944,RW LW CAM,LM,RM,
262800,ST,ST,ST,
238223,GK,GK,SUB,
235151,CDM CM,CDM,CDM,
234383,GK,GK,GK,
233871,LB LWB,LB,LB,
231823,CB,CB,SUB,
244840,LB LM,LB,SUB,
261306,CDM CM,CDM,SUB,
234894,CM,CM,SUB,
248205,CDM CM RB,RWB,RES,
220045,RW LW,RW,SUB,
194956,RW CM,RW,SUB,
245900,CB,CB,SUB,
230027,CM CDM,CM,CDM,
244667,ST LM CAM,ST,SUB,
213905,ST LW RW,ST,RW,
232849,LB RB,LWB,RB,
248209,RB CB,RB,RES,
193425,CM CAM,CB,CDM,
237461,ST,ST,SUB,
235925,GK,GK,SUB,
234901,RM,RM,SUB,
220821,CB,CB,CB,
206485,CB,CB,CB,
192660,ST,ST,ST,
247188,CAM CM,CAM,CAM,
244884,LM CM RM,LM,SUB,
232852,CDM CM,CDM,SUB,
231828,CB,CB,CB,
227732,ST RM,ST,RES,
139668,GK,GK,RES,
241811,RM LB LM,CAM,LB,
257170,CB,CB,CB,
223122,CB,CB,CB,
205243,CB,CB,RES,
241850,ST,ST,ST,
241073,LB LWB,LB,LB,
189619,CM CDM,CDM,SUB,
250805,RB,CB,RB,
209333,GK,GK,GK,
256692,CDM CM,CM,CDM,
183220,CM CAM,CAM,RES,
239028,LM ST CF,CAM,SUB,
233140,CM,CAM,CM,
222900,GK,GK,GK,
183475,GK,GK,SUB,
237754,CB,CB,RES,
244147,CAM LW CM,RM,SUB,
203699,ST,ST,ST,
262579,LB,LB,LB,
243378,ST LW RW,ST,SUB,
232626,RB LB,RB,LWB,
214194,LB LM,LB,LM,
241585,CB LB,CB,SUB,
225206,RB RM,RB,RB,
243894,CM CAM CB,CAM,SUB,
215735,ST CAM,RW,CAM,
227511,CDM CB,CB,CM,
236474,RW ST RM,RM,SUB,
233146,LB CB RB,LB,SUB,
229818,CB RB,CB,CB,
218298,GK,GK,RES,
202170,CB,CB,CB,CB
186553,RB,RB,SUB,
180409,CDM CM,CB,SUB,
240057,CDM CM,CDM,CDM,
227513,RB,RWB,SUB,
213433,CB,CB,SUB,
262585,LM LW,LM,LM,
233400,CB,CB,CB,
215480,RW,RM,SUB,
244407,CM CDM,CM,CM,
234679,CB,CB,RES,
228456,GK,GK,SUB,
230713,CM CDM,CDM,CDM,
220521,CB,CB,SUB,
257784,CM,CM,SUB,
235507,RM LM ST,LM,SUB,
220915,ST,ST,SUB,
230386,CB,CB,CB,
195313,CB,CB,CB,
218353,CB,CB,SUB,
200433,ST,ST,ST,
199665,CDM CM,CDM,SUB,
198641,ST,ST,SUB,
238576,CB,CB,CB,
173040,LM CAM ST,LM,LM,
258287,ST,ST,SUB,
189167,CDM CM,CDM,,CDM
238319,RB CB CDM,RB,CB,
201967,LW LM,LW,LW,
152814,ST,ST,ST,
188397,LW CAM,ST,SUB,
252317,CB,CB,SUB,
198046,CDM,CDM,CDM,
202910,GK,GK,GK,
204276,ST,ST,ST,
248564,RW LW ST,RW,SUB,
251380,CB,CB,CB,
216055,LM RM ST,LM,SUB,
239608,LB CB,CB,SUB,
228600,LB LWB LM,LB,SUB,
260599,CDM CM,CM,SUB,
247031,CB,CB,CB,
238839,CM,CAM,CM,
235511,LB LM,LB,LB,
233975,GK,GK,GK,
223223,CM CDM,CB,CDM,
205559,ST,ST,SUB,
188916,CB,CB,CB,
199159,CDM CM,CDM,CDM,
252150,CB RB,CB,SUB,
242166,LW,LW,LW,
239350,ST LM,RM,ST,
223734,CB,CB,CB,
244213,ST LM RM,RW,SUB,
236533,ST,ST,ST,
231413,GK,GK,RES,
237214,CB,CB,SUB,
176542,ST,ST,ST,
184990,RB RM RWB,RB,SUB,
183973,CB,CB,CB,
226468,ST,ST,SUB,
234660,CB CDM,CB,SUB,
234916,RM LM,LM,RM,
238756,ST,ST,ST,
252580,LW RW ST,RM,LM,
233125,CM,CAM,CM,
245157,ST CAM,CAM,CAM,
246949,ST CF,ST,SUB,
208806,LWB LB CB,LWB,SUB,
247203,LB,LB,LB,
229286,RM LM RWB,RM,SUB,
242342,CM CAM,CAM,CM,
246182,ST,ST,SUB,
255654,RB CB,CB,SUB,
201895,CAM CM LM,CAM,RM,
238503,GK,GK,GK,
239271,GK,GK,GK,
191655,GK,GK,GK,
202148,CM,CM,SUB,
177571,CB,CB,SUB,
252830,ST,ST,SUB,
222881,RB LB CDM,RWB,RB,
256158,LB CB,LB,SUB,
203423,GK,GK,GK,SUB
221855,LM RM,LM,LM,
186783,RM LM,RM,SUB,
211872,LB,LB,LB,
246688,RB,RWB,RB,
247968,RB,RB,RB,
219553,CAM RM LM,CAM,LM,
223137,ST,ST,ST,
211363,CB,CB,CB,SUB
225441,CAM LM RM,CAM,SUB,
231841,GK,GK,GK,
238497,LM,RM,SUB,
240801,ST,ST,ST,
242081,CM,CM,SUB,
201890,RM CM LM,RM,CM,
253602,CDM CM CB,CDM,SUB,
256674,CAM RM CM,CAM,CAM,
255736,CM CDM,CM,CDM,
196857,LB LM,LB,LB,
48745,CB,CB,CB,
225273,RB CB,RWB,CB,
164559,ST,ST,SUB,
236752,ST,ST,ST,
244176,ST CAM,ST,ST,
201938,LM RM LW,RW,SUB,
140498,GK,GK,SUB,
239571,LB,LWB,LB,
245715,CM RB,RM,SUB,
181971,CDM CM,CDM,SUB,
250835,ST,ST,ST,
253139,CM CAM,CAM,SUB,
255699,RM LM ST,RM,SUB,
230356,RB,RB,RWB,
251348,ST,ST,SUB,
251604,RM LM RW,LM,SUB,
262869,CB,CB,SUB,
208597,CB,CB,,SUB
222165,LM RM,CAM,RM,
224213,RB,RB,SUB,
242389,CAM LW,CAM,CAM,
224975,CB,CB,SUB,
209359,CDM CM,RWB,CM,
251342,ST LM RM,ST,RES,
203979,CDM CM,CB,CDM,
224201,ST RW LW,ST,ST,
176841,ST,ST,SUB,
243657,CDM CM,CM,CDM,
252873,CB,CB,SUB,
214730,GK,GK,GK,
219594,CDM CM,CM,RES,
222154,LM CAM,CAM,SUB,
259786,RWB RB,RWB,RWB,
192715,CB,CB,CB,
180174,LB RB,LB,LB,
261579,LM RM,RM,,SUB
210380,ST,ST,SUB,
230092,CB,CB,SUB,
252108,CAM CM RW,RM,RM,
237005,CDM CM,CDM,CM,
184781,GK,GK,RES,
259789,LW RM LM,LM,LW,
243918,CDM CM,CDM,CM,
210646,CDM CM,CDM,CDM,
231638,ST LM,CAM,LM,
212439,CB,CB,CB,
251387,RM,RM,SUB,
241150,RB CDM CM,CDM,SUB,
246013,CM CAM,CM,CM,
232189,CB,CB,CB,
225533,ST,ST,SUB,
223229,RB,RB,RB,RB
218621,RB RM RWB,RB,SUB,
230396,LM CAM,LM,SUB,
203004,GK,GK,GK,
167931,GK,GK,RES,
255742,LB CM LM,CM,CM,
232699,LM RW RM,LM,SUB,
227835,CM CDM,RM,CM,
242426,LM RM,RM,SUB,
235770,LB,LB,LB,
221434,CM CDM,CAM,RES,
203002,CB RB,CB,CB,
262394,CB,CB,SUB,
243449,CB,CB,SUB,
246014,LB,LB,LB,
257278,CB LB,CB,RES,
230871,ST,ST,SUB,
229594,CAM CM,CAM,SUB,
232919,CM CDM,CM,SUB,
258775,CAM CM RM,CAM,CM,
203224,CB,CB,CB,
152536,CDM CM,CB,SUB,
204761,CB,CB,CB,
206553,CB,CB,SUB,
253913,ST CF,ST,ST,
223962,CDM CM,CDM,SUB,
255450,LM CAM,RM,SUB,
195838,CAM,CAM,CAM,
197851,GK,GK,RES,
232861,RM,RM,SUB,
244381,CB,CB,SUB,
236744,RW,RM,SUB,
232136,CB,CB,CB,
253951,CB,CB,CB,
218623,CDM CAM,CDM,SUB,
183453,CDM CM CB,CB,CB,
257191,CDM CM,CDM,SUB,
259751,ST,ST,RES,
224424,CM CAM RM,LM,CM,
230824,RM,RWB,RM,
258632,CM,CM,CM,
149064,LB LM,LB,LB,
202056,ST,ST,ST,
192071,LM RM RW,LM,SUB,
247623,RB RWB,RB,SUB,
239431,LB CB,LB,SUB,
237895,RM LM,RM,LM,
221767,CAM CM RM,CAM,CM,
214343,CDM CM,CDM,SUB,
211783,ST,ST,SUB,
208455,CDM CM,CDM,CM,
220230,CB,CB,RES,
211270,CB,CB,CB,
204102,CM CAM LW,CAM,SUB,
194885,CDM CM,CDM,SUB,
236613,GK,GK,GK,
219461,CB,CB,RES,
193092,LM CAM RM,LM,LM,
199748,LB CB,LB,RES,
230473,LW LM CAM,LW,LM,
242249,CM CDM,CM,SUB,
205386,GK,GK,GK,
189003,RB,RB,SUB,
222286,CB,CB,SUB,
215374,ST,ST,ST,
214606,CM CDM,CM,CM,
208462,CB,CB,CB,
213325,CDM,CDM,CM,
211021,GK,GK,GK,
209997,CB LB CM,CB,SUB,
257868,CM CDM,CM,RES,
182091,ST RW,RW,CAM,
215370,CB,CB,SUB,
157515,LB,LB,SUB,
219979,CDM CM,CDM,CM,
214603,LB CB,LB,CB,
202827,CM CDM CAM,CAM,SUB,
198731,LW RW LM,LW,SUB,
189514,RB,RB,RB,
173130,CM CDM,CAM,CDM,
224330,ST CAM CF,ST,CAM,
184643,LB,LB,SUB,
224067,CB,CB,CB,
193602,CB,CB,SUB,
238137,RB RM,RB,RB,
229436,CB,CB,CB,
226108,CB,CB,SUB,
241467,LM RM,LM,SUB,
224315,CM RM,RM,SUB,
184890,CAM LM,CAM,SUB,
194361,CB,CB,SUB,
251193,ST,ST,SUB,
242489,LM RM,CAM,RM,
233785,CB,CB,CB,
200765,CM CDM,CB,SUB,
260040,LW LM ST,LM,SUB,
216633,GK,GK,SUB,SUB
216376,RM CM,RM,SUB,
240439,CB,CB,CB,
238647,RM RB,RM,CM,
239211,ST CF,ST,ST,
241002,RW,RW,RW,
230506,ST LW,ST,SUB,
251196,CAM CM,RM,CM,
149309,GK,GK,SUB,
243778,GK,GK,GK,
246335,CDM CM,CDM,RES,
239170,CM CAM,CM,CAM,
232770,CM CDM,CM,CDM,
231489,GK,GK,GK,
222273,LB LM LWB,LB,LM,
192320,CM,CM,SUB,
242752,RB LB,RB,RES,
241728,CB,CB,CB,
209984,CDM,CB,RES,
231743,ST,ST,RES,
225853,CM CB,CM,CDM,
220479,CM CDM,CM,CM,
233790,CB,CB,CB,
215358,CM RM,CM,SUB,
204350,ST CF CAM,ST,SUB,
185405,GK,GK,SUB,
242749,CM,CAM,CM,
230205,RB RWB RM,RB,RM,
229949,ST CF RW,ST,ST,
228174,CB,CB,RES,
182862,RB,RB,LB,
239439,LM,LM,RES,
193027,LM RM CM,LM,SUB,
189701,CB,CB,CB,
176389,GK,GK,GK,
239364,GK,GK,GK,
232452,RB RM LB,RB,RB,
231428,CM,CM,SUB,
216580,RB,RB,RWB,
203780,RB CB,RB,SUB,
258563,CM CDM,CAM,SUB,
190979,CDM,CDM,CDM,
198150,ST,ST,ST,
250883,LM,RM,SUB,
232195,CDM CM,CDM,SUB,
206083,LM ST,RW,SUB,
259586,RB RWB,RM,RB,
252930,RB RM CB,RWB,SUB,
245762,ST RW,ST,SUB,
210434,RB,RB,RM,
198914,LM ST CAM,LM,SUB,
256261,CB RB,CB,CB,
207622,CB,CB,CB,
229889,LM ST,LM,RW,
232713,GK,GK,SUB,
242088,CM,CAM,CM,
238505,LM RM,CAM,SUB,
223402,LB LM,LM,SUB,
230314,GK,GK,SUB,
252074,CB,CB,CB,
223147,CAM ST,CAM,SUB,
179899,LWB LB LM,LWB,LWB,SUB
246459,LW ST RW,RM,SUB,
206601,RB RM,RB,SUB,
241670,CM CDM,CDM,CM,
188168,CB LB LWB,CB,SUB,
245768,CB,CB,SUB,
223240,RB RWB,RB,RB,
189447,ST,ST,SUB,
241927,CDM CM,CM,CDM,
232711,CM RW,RWB,RW,
225543,GK,GK,GK,
212231,CB,CB,SUB,
255233,CAM CF,CAM,CAM,
251392,CDM CM,CDM,CM,
189263,RM CAM,RM,RES,
227921,CB CDM CM,CB,CB,
242002,RW ST CF,RM,RM,
241746,CB,CB,CB,
238674,GK,GK,GK,
232786,LM LW,RM,SUB,
230226,CM CDM,CDM,SUB,
207954,CB CDM,CB,CB,
243793,RM LM,LM,RM,
235089,CB RB,CB,CB,
199761,CB,CB,CB,
258898,RM ST LM,LM,RM,
252240,CM CDM,CAM,CAM,
245840,RM RB,RM,RM,
244560,RM LM,RM,SUB,
242768,CAM,CAM,RES,
234576,CB RB,CB,RES,
224336,CDM,CDM,CDM,
212048,RW,RW,SUB,
196688,RB RWB,RB,RB,
245586,LB LM,LB,LM,
260178,RB RM LB,RB,SUB,
233472,RM,RW,SUB,
229207,CM RM ST,CAM,RM,
232192,CDM CM,CDM,CM,
230912,RM RB,RM,SUB,
214784,RM LM ST,RM,RM,
210688,CM LB,LM,SUB,
197376,CM CDM RM,CM,CM,
235799,CDM CM,CDM,CM,
243544,CM CAM,CAM,RES,
224344,ST LW,ST,ST,
206167,CM CDM,CDM,SUB,
231507,LB CB,LB,CB,
197975,CDM CM,CDM,SUB,
219990,CM,CM,SUB,
214358,CM CAM,CAM,SUB,
244309,CM CDM CAM,CAM,CM,
225877,GK,GK,SUB,
186452,CAM CM ST,ST,LM,
162900,CM CDM,CDM,CM,
219988,ST CAM,ST,SUB,
212735,GK,GK,GK,
257558,RM ST CM,RM,SUB,
225812,CDM,CB,CDM,
229923,CAM LM,RM,SUB,
193569,CB,CB,CB,
211746,CDM CM,CDM,SUB,
215074,CM CAM,CM,CM,
230178,LB,LB,SUB,
194082,ST,ST,CAM,
205347,CDM CM,CDM,SUB,
210723,LB LWB,LB,LWB,
163619,LWB LM LB,LWB,LM,
257827,GK,GK,GK,
219670,CB LB LWB,CDM,LB,
200228,CB,CB,SUB,
210724,ST CM RW,CB,RW,
225572,LM LB LW,LM,SUB,
232228,ST,ST,ST,
234020,RM,RM,SUB,
247076,CM CDM,CDM,RES,
239323,ST LW LM,ST,ST,
204763,LB LM,LB,LB,
239393,RW LW ST,RM,RW,
234017,CAM,CAM,SUB,
211745,CDM CM,CDM,SUB,
205857,CB,CB,CB,
206317,CB CDM,CB,SUB,
228589,CM LM,CAM,SUB,
252397,RW RM,RW,LW,
237340,ST CF LW,RM,SUB,
246044,ST RM CAM,ST,SUB,
234781,CB,CB,SUB,
108061,CB,CDM,CB,
251421,RM LM CAM,RM,CAM,
253213,LB,LWB,SUB,
208158,ST,ST,LW,
225310,CM CAM,CM,SUB,
242974,CM,RM,SUB,
258590,LM RM,CAM,SUB,
202271,RM RW LM,RM,SUB,
232991,CDM CM,CDM,CDM,
248095,LB,LB,LB,
222240,RB RM,RB,RB,
250902,RWB RB,RWB,SUB,
214038,CB RB,CB,CB,
252014,RM RB LB,RM,SUB,
205584,CB,CB,CB,
262417,GK,GK,GK,
196881,CB,CB,CB,
246800,RM RB,RM,SUB,
215266,RM LM ST,RM,SUB,
242448,LW ST,ST,ST,
241168,CAM LM CM,CAM,SUB,
236304,CB LB,CB,RES,
235536,LB CB,CDM,LB,
251243,CF CAM ST,CAM,LF,
187157,ST,ST,SUB,
197996,RB,RB,RB,
204652,LB CM LM,LB,SUB,
226668,ST,ST,ST,
226157,CM CAM CDM,CAM,SUB,
228205,CB,CB,CB,
230253,CDM,CB,SUB,
235629,GK,GK,SUB,
202350,ST LW,ST,ST,
264465,RM ST LM,ST,RM,
222225,RB,RB,SUB,
229905,CB LB,CB,CB,
203026,CB,CB,CB,
243477,ST,ST,ST,
237077,CDM CM CB,CDM,SUB,
191252,LB LM CDM,LB,SUB,
184084,GK,GK,SUB,
235028,CB LB CDM,CB,SUB,
230164,GK,GK,SUB,
205588,CB RB,CB,CB,
189715,CM CDM,CM,CM,
179731,CDM CM,CDM,SUB,
237331,LB LM CB,LB,SUB,
237075,ST CAM,ST,ST,
202771,CM,CM,CDM,
184338,CB,CB,SUB,
234002,CDM,CDM,CDM,
215570,CDM CB,CB,SUB,
213778,ST,ST,ST,
213010,RB RWB RM,RB,RM,
242412,CB,CB,SUB,
213228,CM CDM,CM,CM,
235755,CB,CB,CB,
202778,GK,GK,GK,
237339,RB RM LB,RWB,RB,
221467,CM,CM,CM,
215067,CB,CB,CB,
201243,ST,ST,SUB,
183578,CB,CB,CB,
242714,RW RM,ST,SUB,
242458,ST,ST,,SUB
215066,LB LM CB,LB,SUB,
261145,RW LW RM,RM,RES,
234987,RB RWB CM,RM,SUB,RB
193561,RB LB,RB,SUB,
240409,CB,CB,CB,
239641,CDM CM CAM,CB,CDM,
232985,CM LM ST,CAM,SUB,
200473,ST RM,RW,SUB,
255256,RB CB LB,RB,SUB,
241176,CM CAM,RM,CM,
232728,LB RB,LB,LB,
190491,CB,CB,SUB,SUB
257307,CAM CM,CAM,CM,
243675,GK,GK,SUB,
234716,CDM CB,CB,CDM,
231137,RM LM RW,CAM,CM,
198625,GK,GK,SUB,
198113,CDM CM,CDM,CDM,
202208,CAM,RM,CAM,
194015,CB,CB,CB,
259295,GK,GK,SUB,
258271,LM CAM RM,CAM,SUB,
238559,CB,CB,CB,
236255,CB CDM,CB,CB,
235999,GK,GK,SUB,
220895,CM CDM,CAM,SUB,
227806,CM CDM,CM,CM,
220638,CDM CM CB,CDM,CM,
217054,CB,CB,CB,
201438,CM CDM,CM,SUB,
234717,GK,GK,GK,
223709,GK,GK,GK,
142616,GK,GK,SUB,
203544,LB LWB LM,LB,LB,
248075,LB,LB,RES,
218343,RW RM CF,LM,SUB,
198632,LM LB,LM,SUB,
200424,CM CB CDM,CM,CM,
230376,CAM CM,CAM,CAM,
233960,CB,CB,CB,
248808,LB RB,LB,LB,
200425,CB RB,CB,CB,
222697,CDM CM,CDM,CM,
224489,CB,CB,SUB,
226793,CDM RB,CDM,CDM,
236265,LM RM RW,LM,RM,
177129,CDM CM CB,CB,SUB,
153066,LB LWB LM,LB,SUB,
230378,CB RB,CB,SUB,
189930,LB LM,LB,LB,
198635,LM RM CF,RW,SUB,
201707,RB CB LB,RB,,LM
220395,LM RM,RM,LM,
252903,CAM RM CM,CAM,CAM,
239846,GK,GK,SUB,
244491,CB,CB,CB,
231910,ST RW,ST,RES,
241931,CM CDM,CM,CM,
241419,CDM CM,CDM,CDM,
212747,RM CAM CM,CAM,SUB,
204043,CB RB,CB,SUB,
247050,CAM LW RW,RM,LW,
49674,ST,ST,SUB,
252937,LM RM ST,RM,CAM,
261143,CM CDM,CAM,SUB,
220386,RB LB,RWB,RB,
232162,CDM CM,CDM,CM,
243170,ST,ST,ST,
197860,RB,RB,SUB,
210404,CAM ST,ST,SUB,
222692,RB CB,CB,RB,
236260,CB,CB,CB,
211173,ST,ST,SUB,
217061,ST,ST,SUB,
213102,LM ST RM,ST,SUB,
245520,CM CAM RM,CAM,SUB,
252270,LB LM,LB,LB,
241032,CM CDM RM,CM,CDM,
246657,GK,GK,SUB,
236673,ST,ST,SUB,
217217,CDM CM,CDM,SUB,
203137,CB,CB,CB,
202113,RWB RB LWB,RWB,RWB,
200577,RB,RB,RB,
258432,CB,CB,SUB,
190592,CB,CB,CB,
189824,CB,CB,CB,
232832,RB CM RM,RM,SUB,
215168,LM ST RM,LM,SUB,
177279,CM CDM,CM,CM,
222079,CM CAM,CAM,SUB,
247678,RB RM RWB,RWB,RB,
230526,LB LM,LB,SUB,
223358,CB,CB,CB,
247933,LM LW RW,RM,RES,
211325,CM CDM,CM,SUB,
238460,ST,ST,RES,
194945,LM RM,LM,,SUB
214658,CDM CM,CDM,CDM,
226434,CB,CB,CB,
253061,RM LM RW,CAM,LW,
209800,CB,CB,SUB,
252551,CB,CB,SUB,
243591,LM ST,ST,RES,
232839,LB LM,LB,SUB,
257414,ST RM,ST,ST,
246918,CDM CM,CDM,RES,
203398,CB,CB,CB,
258949,RW LW,RM,RES,
187013,CB,CB,CB,
233090,CF RM,CAM,ST,
231301,RB CM CAM,RWB,LM,
188271,LM CAM ST,LM,RW,
208005,ST RM,ST,SUB,
204677,CDM CM,CDM,SUB,
205188,ST,ST,SUB,
234627,RM RW,RM,ST,
203139,CB,CB,CB,
243586,ST LW,ST,LW,
189207,CAM LM CM,CAM,SUB,
260720,ST,ST,ST,
201841,CB,CB,RES,
241273,LB LM,LB,SUB,
232823,CM CDM,RM,CM,
233591,LB LM,LB,LB,
241783,CM CDM,CM,CDM,
259191,RM LM CAM,CAM,RM,
197240,CF ST,CF,ST,
263032,GK,GK,GK,
230520,ST CF,ST,SUB,
254840,CB,CB,RES,
242041,RB,RB,SUB,
226167,RB RM,RWB,RB,
253305,CB,CB,SUB,
214906,CB LWB LB,CB,CB,
224890,LW RW ST,LW,ST,
225402,RB RWB,RB,SUB,
232826,CDM CM,CM,SUB,
242554,RB LB,RB,RB,
244602,LW CAM,RM,SUB,
188538,CB,CB,CB,
164471,ST,ST,ST,
218743,CAM CM LM,CAM,SUB,
240241,CM CDM,CAM,SUB,
189300,RWB RM RB,RWB,SUB,
180337,GK,GK,GK,
214386,CDM,CDM,CM,
235890,CB CDM,CB,CB,
192370,CAM CM,CAM,SUB,
199283,LB LM,LM,LWB,
246387,RB,RB,SUB,
215412,LB,LB,LB,SUB
242036,CM CAM,CAM,RES,
198261,CB,CB,CB,SUB
215927,ST,ST,SUB,
199285,CM CDM,CM,CDM,
236405,LB LM,LB,SUB,
262262,GK,GK,SUB,
197238,ST,ST,ST,
219510,CM CDM,CM,SUB,
164470,CDM CB CM,CDM,CDM,
230774,CB,CB,CB,
53110,GK,GK,GK,GK
224648,LB,LB,LWB,
212613,ST RW LW,ST,RES,
215177,CM CDM,CDM,CM,
231949,CAM CM LW,CAM,SUB,
246139,GK,GK,RES,
237179,ST LW,ST,ST,
225915,ST,ST,RES,
218747,CAM CM LM,CAM,SUB,
211323,CB LB,CB,SUB,
263291,RB,RB,RB,
237580,GK,GK,GK,
256780,CB CDM,CB,CB,
262413,RB,RB,RB,
262925,CM CDM CAM,CM,CM,
220429,CB,CB,SUB,
220685,ST,ST,SUB,
256781,LB LM,LB,SUB,
234108,CAM LW LM,CAM,SUB,
211982,RB,RB,RB,
219918,GK,GK,SUB,
232462,CM CF ST,RM,CM,
237582,LB,LWB,LB,
238862,CB,CB,CB,
209423,GK,GK,RES,
235279,LM CAM ST,LM,SUB,
183567,GK,GK,GK,
237936,RW,LM,SUB,
229488,CDM CM,CDM,SUB,
221552,CDM CM CB,CDM,CDM,
212592,CB,CB,CB,
224137,ST LW,ST,ST,
202978,CB,CB,CB,
236924,CB,CB,CB,
198538,CB,CB,CB,
236938,RM RW,LM,RM,
173450,LB LWB,LB,LB,
258698,LW CAM,CAM,CM,
199051,CB,CB,CB,
211595,CDM CM CB,CDM,SUB,
225931,CAM LW RW,CAM,CAM,
145996,CDM CM,CDM,SUB,
177482,CDM CM,CDM,CDM,
186954,ST,ST,SUB,
243275,CB,CB,SUB,
184139,GK,GK,SUB,
198220,CDM CM CAM,CM,CM,
264268,CB,CB,SUB,
230221,CB RB,CB,SUB,
225868,GK,GK,SUB,
243788,LM CM,CAM,CM,
224842,CM CDM,CM,CDM,
208714,CB,CB,CB,
234829,CDM CM,CDM,CDM,
176717,CB,CB,SUB,
223566,CB,CB,CDM,
228682,RB LB,RB,RB,
207943,CM CDM,CDM,SUB,
211786,CAM,CAM,CM,
233282,GK,GK,GK,
224403,LM LB,LM,LM,
225939,CAM RM,RW,RES,
235103,LM CF ST,RM,RES,
255839,ST,ST,SUB,
234134,CDM CM CAM,CDM,CM,
214594,CDM CM,CDM,CDM,
235842,ST,ST,ST,
237380,LW ST LM,ST,SUB,
246594,CDM CM,CDM,CM,
230467,CAM LM CM,CAM,SUB,
255043,ST,ST,SUB,
258371,LB LM,LM,LB,
184900,CB,CB,CB,
202052,ST,ST,SUB,
240964,CDM,CDM,SUB,
252484,CAM CM CDM,LM,CAM,
242503,CDM CM,RM,SUB,
254281,ST,ST,ST,
250959,CDM CM,CM,SUB,
246351,RM LM RB,RM,SUB,
239951,RB RWB,RB,SUB,
217167,LM RM,RM,SUB,
198479,CB,CB,,CB
49486,ST,ST,ST,
253766,LB LM LWB,LM,LB,
202570,GK,GK,GK,
241737,LB,LWB,SUB,
213061,ST,RW,SUB,
240201,CM RM CDM,CAM,SUB,
209737,CDM CM,CDM,CDM,
200521,RM RW ST,RM,SUB,
262473,LB,LB,LB,
195912,ST,ST,SUB,
187208,GK,GK,SUB,
206408,ST,ST,ST,
254023,CF CAM LM,CAM,LW,
252495,LM RM,RM,LM,
193359,GK,GK,GK,
219216,ST CAM,RM,SUB,
239696,LM CAM,RM,SUB,
263238,GK,GK,SUB,
238662,LB LM,LB,RES,LM
237203,CDM CM,CDM,SUB,
241043,CDM,CB,CM,
235156,CB,CB,SUB,
236692,ST LM,ST,ST,
240020,LB LWB,CB,CB,
242324,LM LW ST,LM,LW,
223637,RM CM,RM,SUB,
224149,ST,ST,ST,
240277,CB,CB,SUB,
244117,CB,CB,SUB,
252053,CB,CB,CB,
